doc_id,source,title,url,drugs,access,doi,n_chunks,en_bronze
NCT05320159,clinicaltrials,"Characteristics, Treatment Patterns, and Treatment Satisfaction Among Psoriasis Patients Treated With Cosentyx (Secukinumab)",https://clinicaltrials.gov/study/NCT05320159,apremilast; ixekizumab; secukinumab,open,,1,si
NCT05503875,clinicaltrials,Immunoclassification of Psoriasis: a Strategy for Precision Medicine,https://clinicaltrials.gov/study/NCT05503875,ixekizumab,open,,1,si
NCT05601492,clinicaltrials,Adherence to Otezla in Patients With Mild Psoriasis,https://clinicaltrials.gov/study/NCT05601492,apremilast,open,,1,si
NCT05650060,clinicaltrials,The Characteristics of Patients Treated With Secukinumab for Moderate to Severe Plaque Psoriasis in Real-world Practice in Thailand,https://clinicaltrials.gov/study/NCT05650060,secukinumab,open,,1,si
NCT05677542,clinicaltrials,"Secukinumab (Cosentyx®) Effectiveness in Axial Spondyloarthritis and Psoriatic Arthritis Patients Using Artificial Intelligence (SpAINET): Spanish Multicenter, Retrospective, Real World Evidence Study",https://clinicaltrials.gov/study/NCT05677542,secukinumab,open,,1,si
NCT05767814,clinicaltrials,Role of Ultrasonographic and Tissue Biomarkers in Optimization of Psoriatic and Seronegative Rheumatoid Arthritis Patients Selection and Treatment Outcomes of Biologic Therapies.,https://clinicaltrials.gov/study/NCT05767814,plaque_psoriasis,open,,3,si
NCT05787236,clinicaltrials,"Moderate-to-severe Plaque Psoriasis Patients Response to Secukinumab Treatment in Real-world Setting: a Monocentric, Retrospective Study",https://clinicaltrials.gov/study/NCT05787236,secukinumab,open,,1,si
NCT05855967,clinicaltrials,"A 24-Week Multicenter, Open-label, Single-arm, Phase 4 Study to Evaluate the Safety of Ixekizumab in Patients With Moderate-to-Severe Plaque Psoriasis or Active Psoriatic Arthritis in India",https://clinicaltrials.gov/study/NCT05855967,ixekizumab,open,,7,si
NCT05891964,clinicaltrials,Outcome of Treatment With Secukinumab in the Treatment of Moderate to Severe Plaque Psoriasis at Tertiary Care Hospital.,https://clinicaltrials.gov/study/NCT05891964,secukinumab,open,,2,si
NCT06032858,clinicaltrials,Efficacy and Safety of Apremilast in Patients With Moderate to Severe Chronic Plaque Psoriasis,https://clinicaltrials.gov/study/NCT06032858,apremilast,open,,2,si
NCT06084663,clinicaltrials,"An Open Label, Balanced, Randomized, Two-treatment, Two-period, Two-sequence, Single Oral Dose, Cross Over Bioequivalence Study of Two Products of Apremilast 30 mg Tablets in Normal, Healthy, Adult, Human Subjects Under Fasting Condition",https://clinicaltrials.gov/study/NCT06084663,apremilast,open,,1,si
