doc_id,source,title,url,drugs,access,doi,n_chunks,en_bronze
36399634,pubmed,Retinoblastoma Expression and Targeting by CDK4/6 Inhibitors in Small Cell Lung Cancer.,https://pubmed.ncbi.nlm.nih.gov/36399634/,retinoblastoma,open,10.1158/1535-7163.MCT-22-0365,3,si
36450591,pubmed,"Decreased sensitivity of cyclin-dependent kinase 4/6 inhibitors, palbociclib and abemaciclib to canine lymphoma cells with high p16 protein expression and low retinoblastoma protein phosphorylation.",https://pubmed.ncbi.nlm.nih.gov/36450591/,retinoblastoma,open,10.1292/jvms.22-0498,2,si
36553426,pubmed,Twenty-Year Retrospective Study of Post-Enucleation Chemotherapy in High-Risk Patients with Unilateral Retinoblastoma.,https://pubmed.ncbi.nlm.nih.gov/36553426/,vincristine,open,10.3390/children9121983,3,si
36603130,pubmed,Sequential Targeting of Retinoblastoma and DNA Synthesis Pathways Is a Therapeutic Strategy for Sarcomas That Can Be Monitored in Real Time.,https://pubmed.ncbi.nlm.nih.gov/36603130/,retinoblastoma,open,10.1158/0008-5472.CAN-22-2258,3,si
36940616,pubmed,Piperlongumine inhibits proliferation and oncogenic MYCN expression in chemoresistant metastatic retinoblastoma cells directly and through extracellular vesicles.,https://pubmed.ncbi.nlm.nih.gov/36940616/,etoposide; vincristine,open,10.1016/j.biopha.2023.114554,4,si
36993823,pubmed,Tumor Suppressor Role of INPP4B in Chemoresistant Retinoblastoma.,https://pubmed.ncbi.nlm.nih.gov/36993823/,etoposide,open,10.1155/2023/2270097,4,si
37132129,pubmed,"Toxicity and feasibility of vincristine, etoposide, and carboplatin alternating with vincristine, doxorubicin, and cyclophosphamide in children with advanced retinoblastoma in Guatemala.",https://pubmed.ncbi.nlm.nih.gov/37132129/,etoposide; vincristine,abstract_only,10.1002/pbc.30392,2,si
37243382,pubmed,"A single-blinded, randomized controlled trial of standard versus higher dose carboplatin-based intravenous chemotherapy for group D and E retinoblastoma.",https://pubmed.ncbi.nlm.nih.gov/37243382/,etoposide; vincristine,abstract_only,10.1002/pbc.30444,3,si
37536351,pubmed,"Intravenous versus super-selected intra-arterial chemotherapy in children with advanced unilateral retinoblastoma: an open-label, multicentre, randomised trial.",https://pubmed.ncbi.nlm.nih.gov/37536351/,etoposide; vincristine,abstract_only,10.1016/S2352-4642(23)00141-4,7,si
37964544,pubmed,Expression of YAP suppresses cell proliferation and elevates the sensitivity of chemotherapy in retinoblastoma cells through lipid-peroxidation induced ferroptosis.,https://pubmed.ncbi.nlm.nih.gov/37964544/,etoposide,abstract_only,10.21037/cco-23-97,4,si
38102193,pubmed,Enhanced anti-tumor activity of transferrin/folate dual-targeting magnetic nanoparticles using chemo-thermo therapy on retinoblastoma cancer cells Y79.,https://pubmed.ncbi.nlm.nih.gov/38102193/,vincristine,open,10.1038/s41598-023-49171-5,3,si
38217258,pubmed,New retinoblastoma (RB) drug delivery approaches: anti-tumor effect of atrial natriuretic peptide (ANP)-conjugated hyaluronic-acid-coated gold nanoparticles for intraocular treatment of chemoresistant RB.,https://pubmed.ncbi.nlm.nih.gov/38217258/,etoposide,open,10.1002/1878-0261.13587,3,si
38219790,pubmed,Post-chemotherapy changes in retinal pigment epithelium in retinoblastoma eyes.,https://pubmed.ncbi.nlm.nih.gov/38219790/,vincristine,abstract_only,10.1016/j.jcjo.2023.12.006,3,si
38277016,pubmed,Prox1 Suppresses Proliferation and Drug Resistance of Retinoblastoma Cells via Targeting Notch1.,https://pubmed.ncbi.nlm.nih.gov/38277016/,vincristine,abstract_only,10.1007/s11596-023-2803-9,4,si
38339011,pubmed,Joint CB1 and NGF Receptor Activation Suppresses TRPM8 Activation in Etoposide-Resistant Retinoblastoma Cells.,https://pubmed.ncbi.nlm.nih.gov/38339011/,etoposide,open,10.3390/ijms25031733,3,si
38463820,pubmed,ACOT7 promotes retinoblastoma resistance to vincristine by regulating fatty acid metabolism reprogramming.,https://pubmed.ncbi.nlm.nih.gov/38463820/,vincristine,open,10.1016/j.heliyon.2024.e27156,3,si
38674157,pubmed,Role of Protein Tyrosine Phosphatase Receptor Type E (PTPRE) in Chemoresistant Retinoblastoma.,https://pubmed.ncbi.nlm.nih.gov/38674157/,etoposide,open,10.3390/ijms25084572,4,si
38742728,pubmed,Enhancement of vincristine sensitivity in retinoblastoma through Janus kinase inhibition by ruxolitinib.,https://pubmed.ncbi.nlm.nih.gov/38742728/,vincristine,abstract_only,10.1097/CAD.0000000000001615,4,si
